approx_time_ms,gc_ms
41,0.38
51,0.29
71,0.21
93,0.46
118,0.21
129,1.83
161,0.25
163,0.21
193,0.25
197,0.33
199,0.58
233,0.21
234,0.21
256,0.21
259,0.25
260,0.71
284,0.25
285,0.17
317,0.21
321,0.25
323,0.58
366,0.21
370,0.21
435,0.21
442,0.58
446,0.71
486,0.25
490,0.17
539,0.25
548,0.46
550,1.12
594,0.33
597,0.25
643,0.25
652,0.21
655,0.71
698,0.25
703,0.25
746,0.21
753,0.25
757,1.79
802,0.29
805,0.25
839,0.25
846,0.25
850,0.79
890,0.25
892,0.17
915,1.71
950,0.29
952,0.12
987,0.25
991,0.21
993,1.08
1030,0.29
1032,0.17
1069,0.21
1074,0.29
1076,0.71
1113,0.21
1117,0.21
1161,0.21
1170,0.21
1173,1.62
1227,0.33
1232,0.25
1274,0.21
1280,0.21
1283,0.62
1317,0.25
1320,0.25
1359,0.29
1364,0.33
1368,0.83
1490,2.71
1505,0.67
1567,0.25
1572,0.25
1576,0.79
1621,0.29
1624,0.21
1670,0.25
1677,0.29
1680,0.96
1730,0.29
1734,0.25
1771,0.21
1776,0.21
1779,0.71
1843,0.33
1847,0.29
1892,0.25
1899,0.25
1902,1.62
1940,0.29
1944,0.21
1983,0.21
1990,0.29
1992,1.54
2030,0.29
2033,0.29
2073,0.25
2077,0.21
2080,2.08
2107,0.88
2143,0.29
2145,1.75
2169,0.58
2196,0.25
2198,1.21
2222,0.25
2225,2.62
2261,0.29
2264,2.71
2291,0.29
2293,0.79
2318,0.29
2320,0.79
2342,0.29
2344,0.92
2366,0.29
2368,0.79
2400,1.29
2429,0.42
2432,3.38
2452,0.88
2475,0.29
2477,0.75
2500,0.29
2502,1.08
2524,0.29
2526,0.75
2548,0.29
2551,1.00
2574,0.29
2577,1.08
2598,0.29
2601,2.29
2625,0.38
2629,1.62
2653,0.42
2658,3.96
2681,0.38
2684,1.04
2708,0.38
2710,0.96
2731,0.33
2736,3.79
2745,0.83
2765,0.33
2768,0.67
2776,1.50
2784,0.88
2805,0.38
2808,2.08
2829,0.38
2831,1.62
2845,1.71
2856,0.92
2869,0.88
2891,0.50
2894,1.50
2915,0.38
2917,0.71
2938,0.38
2940,0.54
2956,0.62
2980,1.00
3000,0.33
3003,0.96
3023,0.33
3025,0.50
3045,0.33
3047,1.12
3067,0.33
3069,1.04
3081,0.88
3104,0.46
3108,1.08
3133,0.42
3137,1.25
3158,1.25
3560,0.50
3574,4.79
3872,1.79
3925,0.42
3930,4.00
3994,1.29
4138,0.42
4142,1.21
4396,0.42
4400,1.21
4422,1.67
4497,0.46
4500,1.12
4581,1.67
4611,2.71
4642,0.46
4646,1.50
4672,1.50
4702,0.38
4706,1.75
4740,0.50
4745,1.58
4776,0.46
4780,2.29
4826,0.42
4830,2.08
4920,0.58
4924,1.88
4965,2.54
5004,0.50
5009,2.50
5033,5.12
5066,0.50
5070,1.21
5097,0.42
5101,1.42
5161,0.50
5166,1.25
5209,0.54
5214,1.46
5269,0.46
5274,1.33
5313,0.38
5318,1.83
5363,0.46
5368,3.88
5407,0.54
5413,1.88
5446,0.46
5450,1.29
5479,0.46
5483,3.71
5511,0.33
5515,2.08
5610,0.62
5615,1.54
5652,0.38
5657,1.92
5696,0.42
5700,3.21
5736,0.46
5741,1.58
5775,0.46
5780,1.75
5824,0.42
5829,4.71
5885,2.50
5923,2.54
5966,0.38
5973,1.88
6101,0.46
