approx_time_ms,gc_ms
0,0
7,2
70,0
71,0
79,3
119,0
120,0
129,8
176,0
176,0
184,2
225,0
226,0
232,2
261,0
267,1
313,0
313,0
321,3
386,0
386,0
395,6
443,0
443,0
451,6
496,0
497,0
505,2
539,0
545,2
581,0
581,0
587,1
626,0
626,0
633,4
675,0
675,0
682,2
734,0
734,0
743,2
779,0
785,3
842,0
842,0
850,2
892,0
899,2
942,0
942,0
948,3
984,0
985,0
994,3
1037,0
1038,0
1045,2
1077,0
1078,0
1086,2
1120,0
1120,0
1127,2
1173,0
1182,2
1221,0
1222,0
1227,2
1280,0
1280,0
1292,4
1350,0
1351,0
1362,5
1396,0
1396,0
1405,3
1432,0
1444,4
1479,0
1484,2
1530,0
1530,0
1552,20
1630,0
1630,0
1638,2
1670,0
1670,0
1677,5
1731,0
1731,0
1739,2
1782,0
1782,0
1788,1
1828,0
1828,0
1835,2
1882,0
1882,0
1889,2
1928,0
1928,0
1936,2
1970,0
1970,0
1975,4
1987,0
1997,3
2018,4
2021,2
2066,0
2072,6
2076,3
2109,0
2115,6
2116,1
2169,0
2183,13
2191,8
2254,0
2254,0
2263,5
2292,0
2308,4
2357,0
2357,0
2372,1
2454,1
2462,8
2466,3
2488,0
2497,3
2543,0
2544,1
2551,3
2597,0
2605,7
2608,3
2653,0
2653,0
2660,1
2689,0
2689,0
2694,1
2733,0
2742,1
2778,0
2778,0
2785,2
2819,0
2819,0
2830,3
2855,0
2864,3
2894,0
2894,0
2905,4
2939,0
2939,0
2950,2
2991,0
2991,0
3003,4
3052,0
3052,0
3065,12
3086,0
3096,2
3131,0
3131,0
3140,2
3156,0
3165,2
3209,0
3209,0
3219,2
3272,0
3272,0
3280,2
3314,0
3315,0
3320,1
3371,0
3372,0
3382,5
3425,1
3425,0
3446,7
3473,0
3482,1
3528,0
3528,0
3534,1
3577,0
3578,0
3587,6
3620,0
3620,0
3635,7
3687,0
3688,0
3697,3
3753,0
3753,0
3762,2
3805,0
3805,0
3826,5
3879,1
3879,0
3900,2
3952,0
3952,0
3962,3
4008,0
4008,0
4020,3
4055,0
4064,8
4112,0
4112,0
4119,1
4152,0
4162,2
4193,0
4212,4
4304,0
4304,0
4310,1
4342,0
4342,0
4349,7
4379,0
4387,2
4417,0
4417,0
4426,2
4512,0
4512,0
4525,4
4569,0
4570,0
4581,3
4621,0
4621,0
4635,4
4671,0
4671,0
4686,3
4718,0
4719,0
4734,13
4768,0
4769,0
4779,2
4815,0
4815,0
4825,6
4866,0
4866,0
4872,1
4912,0
4912,0
4920,2
4970,0
4970,0
4986,12
5025,0
5025,0
5039,2
5082,0
5082,0
5093,7
5133,0
5133,0
5145,10
5177,0
5177,0
5184,0
5188,2
5225,0
5225,0
5236,5
5279,1
5279,0
5296,12
5344,0
5344,0
5355,8
5398,0
5398,0
5410,11
5452,0
5453,0
5465,1
5500,0
5500,0
5510,4
5548,0
5548,0
5562,2
5597,0
5598,0
5612,8
5632,0
5650,5
5692,0
5692,0
5701,1
5741,0
5752,9
5776,0
5785,1
5829,0
5829,0
5846,4
5886,0
5886,0
5904,4
5942,0
5943,0
5951,8
5985,0
6001,14
6041,0
6041,0
6050,1
6096,0
6096,0
6106,9
6137,0
6151,10
6186,0
6186,0
6197,2
6233,0
6234,0
6248,2
6283,0
6283,0
6294,2
6340,4
6342,1
6362,2
6398,0
6399,0
6404,2
6433,0
6433,0
6443,3
6473,0
6473,0
6507,23
6563,0
6563,0
6578,8
6724,0
6724,0
6732,2
6829,0
6829,0
6837,1
6910,0
6910,0
6920,3
6953,0
6953,0
6965,2
6995,0
6995,0
7004,7
7021,0
7029,4
7126,0
7126,0
7139,3
7202,0
7202,0
7222,2
7326,0
7326,0
7337,5
7368,0
7368,0
7376,2
7546,0
7546,0
7556,2
7600,0
7600,0
7609,9
7670,0
7679,1
7719,0
7719,0
7734,2
7770,0
7771,0
7781,2
7833,1
7833,0
7847,2
7882,0
7883,0
7894,1
7940,0
7940,0
7954,13
8015,0
8015,0
8026,3
8089,0
8089,0
8112,21
8209,1
8210,0
8226,3
8267,1
8267,0
8282,1
8323,0
8324,0
8334,2
8373,0
8373,0
8385,8
8419,0
8419,0
8428,1
8458,0
8458,0
8473,4
8489,0
8595,105
8614,0
8631,2
8667,0
8667,0
8684,10
8725,0
8725,0
8735,7
8766,0
8766,0
8779,11
8876,0
8883,6
8967,0
8967,0
8974,2
9047,0
9047,0
9058,1
9155,0
9162,5
9227,0
9228,0
9236,2
9333,0
9334,0
9341,7
9409,0
9422,2
9449,0
9449,0
9456,0
9490,0
9490,0
9499,2
9538,0
9538,0
9551,10
9645,0
9645,0
9651,0
9655,3
9757,0
9757,0
9764,2
9878,0
9878,0
9880,0
9887,2
9989,0
9989,0
10024,25
10244,0
10244,0
10258,5
10466,0
10467,0
10476,9
10570,1
10578,1
10728,1
10729,0
10748,5
10861,0
10861,0
10870,8
10957,0
10957,0
10965,1
11138,0
11138,0
11147,6
11353,0
11371,2
11420,0
11420,0
11531,82
11893,0
11894,1
11911,5
11976,0
11976,0
12154,178
12201,0
12216,1
12244,0
12244,0
12247,0
12253,2
12284,0
12321,1
12436,92
14022,0
14031,2
15664,0
15678,12
16569,0
16570,0
16576,0
17302,0
17303,0
17311,8
18016,0
18017,0
18023,1
18699,0
18700,0
18709,0
18897,0
18912,14
19605,0
19605,0
19611,4
20325,1
20326,0
20343,1
21059,0
21059,0
21064,0
21755,0
21756,0
21762,3
22334,0
22341,1
23548,0
23549,0
23555,0
24279,0
24279,0
24286,5
25005,0
25006,0
25012,1
25715,0
25715,0
25721,1
26429,0
26429,0
26434,1
27118,0
27119,0
27128,1
27819,0
27820,0
27826,0
28510,0
28511,0
28519,7
29174,0
