approx_time_ms,gc_ms
40,0.58
101,0.71
187,0.17
272,0.25
335,0.12
413,0.08
498,0.08
595,0.12
709,0.08
805,0.12
898,0.12
995,0.08
1090,0.08
1187,0.12
1282,0.12
1378,0.12
1469,0.08
1563,0.08
1659,0.08
1766,0.08
1864,0.17
1958,0.08
2059,0.08
2157,0.08
2256,0.12
2359,0.12
2455,0.12
2548,0.08
2650,0.08
2759,0.08
2859,0.08
2959,0.08
3055,0.08
3150,0.08
3247,0.08
3335,1.96
3433,0.12
3530,0.12
3624,0.12
3753,0.12
3853,0.12
3950,0.08
4051,0.08
4153,0.08
4253,0.12
4362,0.12
4463,0.08
4564,0.12
4665,0.08
4793,0.12
4893,0.12
4991,0.12
5088,0.08
5188,0.12
5284,0.08
5385,0.12
5480,0.12
5580,0.08
5682,0.08
5794,0.17
5892,0.12
5993,0.12
6094,0.08
6193,0.08
6290,0.12
6392,0.08
6489,0.12
6582,0.08
6680,0.12
6783,0.21
6885,0.08
6983,0.12
7094,0.12
7195,0.08
7300,0.08
7396,0.12
7492,0.08
7594,0.08
7692,0.12
7798,0.12
7899,0.08
7996,0.08
8098,0.12
8205,0.08
8306,0.08
8417,0.17
8518,0.12
8617,0.12
8715,0.08
8831,0.17
8931,0.08
9030,0.12
9125,0.12
9221,0.12
9313,0.08
9408,0.12
9500,0.08
9597,0.08
9696,0.08
9796,0.08
9905,0.08
10001,0.12
10100,0.08
10197,0.08
10293,0.12
10393,0.12
10505,0.12
10602,0.08
10702,0.08
10803,0.08
10913,0.12
11013,0.08
11116,0.12
11215,0.12
11315,0.08
11414,0.08
11513,0.12
11610,0.08
11708,0.08
11806,0.08
11920,0.17
12013,0.08
12110,0.08
12207,0.08
12303,0.12
12400,0.08
12509,0.12
12606,0.08
12706,0.08
12804,0.08
12913,0.12
13009,0.12
13111,0.08
13210,0.08
13305,0.08
13408,0.12
13502,0.08
13597,0.08
13695,0.08
13796,0.12
13924,0.25
14036,0.08
14136,0.12
14234,0.08
14329,0.08
14424,0.17
14628,0.08
14829,0.08
15041,0.08
15237,0.12
15434,0.12
15632,0.12
15831,0.12
16043,0.08
16236,0.12
16426,0.12
16630,0.08
16828,0.12
17036,0.38
17238,0.12
17435,0.08
17631,0.08
17820,0.08
18018,0.12
18225,0.08
18415,0.12
18618,0.17
18813,0.08
19009,0.12
19245,0.12
19441,0.12
19642,0.08
19840,0.12
20041,0.12
20254,0.12
20452,0.12
20656,0.12
20855,0.12
21052,0.12
21264,0.12
21468,0.08
21667,0.08
21865,0.12
22059,0.12
22273,0.12
22471,0.12
22677,0.12
22874,0.12
23072,0.08
23272,0.08
23461,0.12
23661,0.08
23855,0.12
24054,0.08
24294,0.17
24492,0.12
24701,0.17
24903,0.12
25098,0.12
25310,0.17
25500,0.08
25694,0.12
25891,0.12
26086,0.08
26293,0.12
26491,0.08
26685,0.08
26898,0.29
27089,0.12
27297,0.17
27497,0.12
27700,0.12
27903,0.12
28119,0.12
28326,0.08
28518,0.12
28710,0.12
28912,0.12
29106,0.21
29358,0.12
29551,0.08
29754,0.17
29957,0.12
30157,0.12
30362,0.12
30554,0.12
30749,0.08
30954,0.08
31151,0.08
31354,0.12
31554,0.08
31753,0.12
31946,0.12
32155,0.21
32364,0.08
32562,0.08
32760,0.08
32964,0.08
33152,0.12
33361,0.12
33560,0.12
33758,0.12
33955,0.12
34164,0.12
34394,0.17
34592,0.08
34779,0.08
34962,0.12
35145,0.12
35326,0.17
35522,0.17
35714,0.12
35907,0.12
36099,0.08
36294,0.08
36494,0.17
36698,0.12
36907,0.21
37108,0.12
37303,0.08
37506,0.21
37699,0.17
37891,0.12
38090,0.12
38291,0.12
38489,0.08
38703,0.12
38916,0.12
39116,0.08
39314,0.12
39535,0.25
39754,0.12
39951,0.12
40148,0.12
40338,0.12
40561,0.17
40759,0.12
40962,0.17
41162,0.12
41359,0.08
41573,0.08
41768,0.12
41967,0.12
42167,0.12
42367,0.12
42568,0.29
42784,0.12
42992,0.12
43187,0.12
43391,0.12
43599,0.25
43804,0.08
44000,0.12
44195,0.12
44397,0.08
44637,0.12
44851,0.12
45065,0.12
45269,0.12
45468,0.08
45675,0.12
45867,0.12
46063,0.12
46262,0.17
46461,0.12
46671,0.12
46870,0.08
47086,0.25
47277,0.12
47466,0.12
47664,0.17
47867,0.12
48068,0.12
48305,0.08
48501,0.08
48727,0.08
48927,0.08
49143,0.25
49345,0.12
49554,0.08
49806,0.12
50004,0.08
50212,0.12
50410,0.12
50610,0.08
50820,0.08
51018,0.12
51226,0.12
51435,0.08
51631,0.08
51833,0.12
52028,0.08
52223,0.12
52417,0.08
52613,0.12
52818,0.08
53016,0.08
53221,0.12
53416,0.12
53616,0.08
53826,0.12
54030,0.12
54229,0.08
54428,0.08
54621,0.12
54862,0.12
55062,0.08
55265,0.08
55467,0.12
55669,0.08
55883,0.08
56081,0.08
56275,0.08
56476,0.08
56676,0.08
56888,0.12
57082,0.08
57288,0.12
57482,0.12
57680,0.08
57890,0.12
58088,0.08
58296,0.12
58492,0.08
58689,0.12
58912,0.12
59109,0.08
59315,0.12
59516,0.08
59706,0.12
59943,0.12
60136,0.12
60331,0.08
60531,0.08
60730,0.12
60948,0.08
61145,0.08
61363,0.12
61563,0.08
61755,0.12
61976,0.04
62178,0.08
62380,0.08
62577,0.08
62772,0.12
62990,0.12
63186,0.12
63412,0.12
63611,0.12
63807,0.12
64021,0.12
64222,0.12
64417,0.08
64610,0.08
64841,0.29
65078,0.17
65272,0.12
65485,0.12
65683,0.08
65899,0.12
66093,0.12
66288,0.12
66487,0.12
66694,0.12
66902,0.21
67114,0.12
67327,0.12
67539,0.12
67736,0.08
67944,0.17
68136,0.08
68332,0.12
68539,0.08
68743,0.08
68947,0.08
69142,0.08
69341,0.12
69547,0.12
69747,0.12
69979,0.21
70185,0.12
70376,0.12
70577,0.12
70770,0.12
70974,0.08
71178,0.08
71377,0.08
71585,0.08
71779,0.12
71988,0.12
72187,0.08
72390,0.12
72594,0.12
72798,0.12
73021,0.12
73228,0.12
73418,0.12
73635,0.08
73836,0.12
74042,0.12
74241,0.12
74437,0.08
74634,0.12
74832,0.08
75064,0.17
75260,0.08
75455,0.12
75659,0.12
75856,0.08
76074,0.08
76278,0.12
76480,0.12
76682,0.08
76877,0.12
77083,0.12
77279,0.08
77474,0.08
77684,0.12
77879,0.08
78081,0.12
78276,0.08
78473,0.08
78671,0.12
78863,0.08
79076,0.12
79279,0.08
79482,0.12
79693,0.12
79899,0.08
80149,0.08
80350,0.12
80550,0.12
80747,0.12
80945,0.08
81158,0.12
81362,0.12
81562,0.17
81768,0.12
81957,0.12
82164,0.12
82361,0.08
82563,0.12
82761,0.08
82959,0.12
83162,0.08
83353,0.08
83552,0.08
83763,0.12
83956,0.12
84160,0.12
84355,0.12
84551,0.12
84745,0.08
84944,0.08
85183,0.12
85378,0.12
85586,0.08
85796,0.08
85990,0.08
86204,0.12
86401,0.12
86601,0.08
86801,0.12
87000,0.12
87204,0.08
87400,0.12
87603,0.08
87813,0.12
88005,0.12
88229,0.08
88435,0.12
88635,0.12
88830,0.12
89026,0.08
89235,0.08
89433,0.08
89639,0.12
89858,0.12
90085,0.29
90426,0.08
90620,0.08
90816,0.08
91017,0.12
91231,0.12
91433,0.08
91631,0.12
91834,0.12
92032,0.12
92257,0.12
92453,0.12
92646,0.12
92840,0.12
93036,0.12
