approx_time_ms,gc_ms
8,0
115,0
237,0
337,0
446,0
545,0
644,0
741,0
838,0
933,0
1028,0
1128,0
1227,0
1328,0
1422,0
1516,0
1615,0
1716,0
1820,0
1920,0
2015,0
2114,0
2211,0
2304,0
2402,0
2514,0
2611,0
2710,0
2812,0
2911,0
3003,0
3101,0
3201,0
3300,0
3398,0
3500,0
3597,0
3696,0
3793,0
3892,0
3991,0
4089,0
4187,0
4283,0
4381,0
4476,0
4578,0
4675,0
4770,0
4862,0
4957,0
5053,0
5151,0
5256,0
5354,0
5449,0
5543,0
5638,0
5734,0
5826,0
5924,0
6020,0
6120,0
6216,0
6317,0
6418,0
6518,0
6646,0
6742,0
6841,0
6942,0
7040,0
7138,0
7232,0
7326,0
7421,0
7516,0
7610,0
7704,0
7796,0
7894,0
7994,0
8089,0
8186,0
8284,0
8385,0
8483,0
8586,0
8682,0
8782,0
8880,0
8978,0
9072,0
9170,0
9269,0
9464,0
9660,0
9848,0
10039,0
10234,0
10420,0
10621,0
10821,0
11014,0
11212,0
11404,0
11591,0
11776,0
11971,0
12169,0
12367,0
12571,0
12776,0
12967,0
13157,0
13349,0
13546,0
13732,0
13922,0
14116,0
14307,0
14500,0
14710,0
14908,0
15106,0
15312,0
15508,0
15703,0
15896,0
16087,0
16280,0
16479,0
16676,0
16900,0
17093,0
17386,0
17587,0
17785,0
17984,0
18181,0
18379,0
18570,0
18761,0
18958,0
19151,0
19349,0
19548,0
19742,0
19947,0
20143,0
20341,0
20537,0
20728,0
20930,0
21123,0
21320,0
21514,0
21710,0
21900,0
22090,0
22290,0
22489,0
22688,0
22898,0
23103,0
23301,0
23501,0
23697,0
23884,0
24071,0
24263,0
24460,0
24654,0
24852,0
25045,0
25243,0
25435,0
25626,0
25809,0
26003,0
26198,0
26392,0
26583,0
26778,0
26978,0
27172,0
27364,0
27566,0
27763,0
27954,0
28142,0
28330,0
28531,0
28727,0
28936,0
29301,0
29559,0
29750,0
29938,0
30124,0
30310,0
30490,0
30664,0
30845,0
31057,0
31276,0
31481,0
31675,0
31873,0
32071,0
32272,0
32471,0
32665,0
32858,0
33056,0
33247,0
33441,0
33632,0
33827,0
34026,0
34214,0
34407,0
34604,0
34797,0
34989,0
35194,0
35389,0
35576,0
35772,0
35968,0
36165,0
36360,0
36553,0
36744,0
36936,0
37146,0
37341,0
37542,0
37724,0
37921,0
38117,0
38304,0
38501,0
38694,0
38898,0
39113,0
39308,0
39502,0
39696,0
39891,0
40089,0
40288,0
40480,0
40667,0
40859,0
41049,0
41252,0
41447,0
41639,0
41830,0
42026,0
42216,0
42407,0
42597,0
42799,0
42989,0
43187,0
43386,0
43580,0
43777,0
43969,0
44157,0
44353,0
44547,0
44743,0
44930,0
45120,0
45327,0
45519,0
45710,0
45896,0
46100,0
46297,0
46490,0
46674,0
46870,0
47063,0
47272,0
47471,0
47670,0
47870,0
48062,0
48253,0
48441,0
48638,0
48841,0
49039,0
49263,0
49466,0
49656,0
49870,0
50068,0
50265,0
50460,0
50653,0
50854,0
51051,0
51269,0
51466,0
51661,0
51862,0
52063,0
52257,0
52452,0
52646,0
52839,0
53036,0
53237,0
53443,0
53643,0
53840,0
54030,0
54226,0
54417,0
54607,0
54803,0
54996,0
55199,0
55406,0
55599,0
55791,0
55984,0
56187,0
56379,0
56590,0
56800,0
56996,0
57191,0
57388,0
57582,0
57775,0
57971,0
58166,0
58360,0
58557,0
58751,0
58945,0
59156,0
59341,0
59542,0
59735,0
59929,0
60119,0
60311,0
60501,0
60686,0
60876,0
61076,0
61269,0
61465,0
61655,0
61847,0
62044,0
62236,0
62420,0
62605,0
62806,0
63008,0
63195,0
63384,0
63636,0
63835,0
64029,0
64229,0
64429,0
64617,0
64818,0
65011,0
65210,0
65410,0
65616,0
65818,0
66009,0
66200,0
66395,0
66587,0
66786,0
66993,0
67219,0
67437,0
68189,0
68413,0
68653,0
68847,0
69037,0
69234,0
69423,0
69621,0
69816,0
70006,0
70195,0
70388,0
70574,0
70769,0
70959,0
71150,0
71338,0
71529,0
71728,0
71922,0
72115,0
72301,0
72495,0
72684,0
72876,0
73067,0
73264,0
73470,0
73675,0
73870,0
74068,0
74269,0
74474,0
74669,0
74867,0
75069,0
75271,0
75470,0
75661,0
75871,0
76075,0
76276,0
76469,0
76658,0
76853,0
77049,0
77240,0
77438,0
77634,0
77840,0
78026,0
78218,0
78416,0
78612,0
78799,0
78985,0
79178,0
79377,0
79566,0
79760,0
79962,0
80156,0
80363,0
80556,0
80752,0
80945,0
81139,0
81334,0
81527,0
81719,0
81917,0
82114,0
82323,0
82519,0
82707,0
82910,0
83116,0
83315,0
83521,0
83943,0
84141,0
84345,0
84547,0
84742,0
84936,0
85125,0
85314,0
85505,0
85703,0
85910,0
86109,0
86302,0
86496,0
86696,0
86884,0
87074,0
87265,0
87453,0
87643,0
87837,0
88050,0
88234,0
88433,0
88624,0
88812,0
89003,0
89231,0
89531,0
89724,0
89911,0
90121,0
90317,0
90511,0
90697,0
90887,0
91091,0
91290,0
91508,0
91702,0
91902,0
92159,0
92359,0
92546,0
92736,0
92957,0
93153,0
93352,0
93659,0
93852,0
94055,0
94251,0
94456,0
94651,0
94842,0
95029,0
95221,0
95417,0
95620,0
95822,0
96012,0
96220,0
96415,0
96605,0
96794,0
96983,0
97177,0
97374,0
97578,0
97784,0
97981,0
98202,0
98400,0
98601,0
98798,0
98991,0
99180,0
